team_id,subscribe_at,disabled_at,status,offer,trial_start_at,trial_end_at
40fbd3a5-a26f-40a0-9442-97f463846bfb,,2024-09-16 17:42:15.40446+00,disabled,budget,2024-09-16 17:39:00.137959+00,2024-09-30 17:39:00.137959+00
76eed2db-c452-4e19-98ae-60b5cf99b46b,2024-05-27 14:31:51+00,,active,budget,2024-05-12 21:31:11.178486+00,2024-05-26 21:31:11.178486+00
88592354-0ddb-4be7-95bf-14d0e5f47e70,,2024-09-21 01:00:01.41481+00,disabled,budget,2024-09-06 13:29:42.567109+00,2024-09-20 13:29:42.567109+00
c9af2120-1b74-4ebb-8009-8b9224d4dace,2024-02-15 12:37:39+00,,active,budget,2020-03-29 12:49:40.985137+00,2020-04-29 12:49:40.985137+00
6e894a69-4062-4a43-85f9-ed57ec0a01e8,,2024-06-24 01:00:01.148573+00,disabled,budget,2024-06-09 12:28:16.371489+00,2024-06-23 12:28:16.371489+00
1ddff50e-3c20-4076-850b-b39b0197b4a1,,2024-07-09 21:03:36.550358+00,disabled,time,2024-07-09 20:42:20.454236+00,2024-07-23 20:42:20.454236+00
2e0cdbdc-9885-41f1-b5e6-7965d7b79133,,2024-08-07 01:00:01.478188+00,disabled,budget,2024-07-23 15:10:36.420444+00,2024-08-06 15:10:36.420444+00
e7699c18-5956-4b62-bb72-8407d37312fa,,2024-05-08 01:00:01.248339+00,disabled,time,2024-04-24 00:02:20.307965+00,2024-05-08 00:02:20.307965+00
f6b97d19-9f84-4696-9bf3-5575ef68341f,,2024-05-08 01:00:01.251196+00,disabled,budget,2024-04-24 00:36:37.125895+00,2024-05-08 00:36:37.125895+00
e961606a-1bb1-4cf4-b3b7-b598db5ebdb0,,2024-09-21 01:00:01.420839+00,disabled,time,2024-09-06 17:57:30.705989+00,2024-09-20 17:57:30.705989+00
6d31b944-5b45-449e-8e9f-3262b55d5aa1,,2024-06-25 01:00:01.487033+00,disabled,time,2024-06-10 09:45:13.508356+00,2024-06-24 09:45:13.508356+00
90f231eb-5ca5-44d1-8594-add5a12f192e,,2024-10-01 01:00:01.42104+00,disabled,budget,2024-09-16 19:36:50.540671+00,2024-09-30 19:36:50.540671+00
0d8b0f8c-572e-45c3-aa01-c072b4754a2f,,2024-07-24 01:00:01.561091+00,disabled,budget,2024-07-09 23:29:22.821978+00,2024-07-23 23:29:22.821978+00
bebb324a-78de-4516-babe-d2f1a52e464d,,2024-08-08 01:00:01.438365+00,disabled,time,2024-07-24 08:54:54.922359+00,2024-08-07 08:54:54.922359+00
47c27fe0-8ef6-4073-b712-8896c398f916,2024-03-20 09:43:02+00,2024-08-20 09:45:45.648051+00,disabled,time,2022-09-21 16:46:52.136316+00,2022-10-21 16:46:52.136317+00
4dcbdd25-7439-415e-bf96-c4c55bb2d989,,2024-05-28 01:00:02.021727+00,disabled,budget,2024-05-13 14:58:52.099243+00,2024-05-27 14:58:52.099243+00
8b12437e-3375-42e9-afa3-9f8ec48637f3,,2024-06-25 01:00:01.981901+00,disabled,budget,2024-06-10 13:15:26.792477+00,2024-06-24 13:15:26.792477+00
09cd252b-df6f-401b-927e-93ba4b0a7947,,2024-07-25 01:00:02.094134+00,disabled,time,2024-07-10 02:05:23.147142+00,2024-07-24 02:05:23.147142+00
74d32202-eaa3-4bd4-a5d2-8327dbe38187,,2024-09-21 01:00:01.657735+00,disabled,time,2024-09-07 00:33:22.371332+00,2024-09-21 00:33:22.371332+00
c213a8ee-107a-4cca-a4e1-b41a3b7c4f1a,,2024-07-25 08:55:11.997631+00,disabled,time,2024-07-25 07:15:15.430617+00,2024-08-08 07:15:15.430617+00
fb441ee7-b33c-4a32-b8ab-7ed61e877f88,,2024-09-21 01:00:01.660457+00,disabled,budget,2024-09-07 00:36:07.086628+00,2024-09-21 00:36:07.086628+00
57b65465-4b87-4f59-9405-2734431cf84f,2023-03-20 14:43:59+00,,active,budget,2023-02-16 11:28:07.4346+00,2023-03-22 00:00:00+00
8bb33159-a377-4ce9-b270-d5124dd8fba5,,2024-10-01 01:00:01.423739+00,disabled,time,2024-09-16 21:35:25.330603+00,2024-09-30 21:35:25.330604+00
80ffe1d0-c7e7-4610-96c3-74c46afb92ed,,2024-05-09 01:00:01.507662+00,disabled,time,2024-04-24 03:45:05.904134+00,2024-05-08 03:45:05.904134+00
9cac8cb2-3ba5-4e0d-a889-fd2c7e411ee0,2024-09-17 07:28:14+00,,active,time,2023-10-13 08:51:11.243056+00,2023-11-12 08:51:11.243056+00
9d4ee2e9-0701-493b-ad36-a1c28b121ce4,,2024-09-22 01:00:02.605679+00,disabled,budget,2024-09-07 07:37:41.321417+00,2024-09-21 07:37:41.321417+00
36f3ca80-a474-4e20-bb7a-d5a8f1cf5322,2023-05-13 17:56:23+00,2024-06-03 11:15:56.508562+00,disabled,time,2021-03-13 05:20:42.558471+00,2021-05-14 00:00:00+00
edf86c7a-9cfa-45bc-aa8e-768973a60bb2,,2024-06-25 01:00:01.983934+00,disabled,time,2024-06-10 15:47:43.028717+00,2024-06-24 15:47:43.028717+00
dd02e9d0-76d4-4f8b-bf28-faac7e29cd58,,2024-07-10 07:09:50.987364+00,disabled,budget,2024-07-10 07:02:12.061102+00,2024-07-24 07:02:12.061102+00
80c702f1-f9d5-46dc-9dc8-e7ea0889e92f,,2024-09-07 01:00:02.584369+00,disabled,time,2024-07-25 12:48:49.325203+00,2024-09-07 00:00:00+00
